rosbagTimestamp,task_id,step_count,who_reports,update_received_time,secs,nsecs,human_model,action_taken_time,secs,nsecs,taken_action,belief_state,real_state,isEstimationCorrect,warnings_count,real_obs_received,obs_with_noise,human_observables,task_status,who_succeeded,robot_model,immediate_reward,total_disc_reward,robot_belief
1.5362209848122E+018,1,0,"""MANAGER""",,1536220984,812024503,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy5.pomdpx""",'','',[]
1.53622100719976E+018,1,7,"""SENSORS""",,1536221007,199631313,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622102342413E+018,2,0,"""MANAGER""",,1536221023,424027516,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy6.pomdpx""",'','',[]
1.53622104919976E+018,2,5,"""SENSORS""",,1536221049,199627007,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622106267157E+018,3,0,"""MANAGER""",,1536221062,671024898,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy11.pomdpx""",'','',[]
1.53622108820559E+018,3,5,"""SENSORS""",,1536221088,205484169,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622110217899E+018,4,0,"""MANAGER""",,1536221102,178831848,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy8.pomdpx""",'','',[]
1.53622113519991E+018,4,6,"""SENSORS""",,1536221135,199692738,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622114841904E+018,5,0,"""MANAGER""",,1536221148,418953446,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy8.pomdpx""",'','',[]
1.53622117420654E+018,5,6,"""SENSORS""",,1536221174,206410654,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622119055761E+018,6,0,"""MANAGER""",,1536221190,557383872,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy3.pomdpx""",'','',[]
1.53622121621118E+018,6,5,"""SENSORS""",,1536221216,211042753,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622122895549E+018,7,0,"""MANAGER""",,1536221228,955404891,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622125220866E+018,7,5,"""SENSORS""",,1536221252,208528417,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622126545109E+018,8,0,"""MANAGER""",,1536221265,450955028,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.5362212942072E+018,8,7,"""SENSORS""",,1536221294,207076030,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.5362213077618E+018,9,0,"""MANAGER""",,1536221307,761712819,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622133021378E+018,9,5,"""SENSORS""",,1536221330,213649325,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622134412779E+018,10,0,"""MANAGER""",,1536221344,127702308,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622136920571E+018,10,6,"""SENSORS""",,1536221369,205598612,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622137902661E+018,11,0,"""MANAGER""",,1536221379,26145481,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622140220124E+018,11,5,"""SENSORS""",,1536221402,201097089,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622141154678E+018,12,0,"""MANAGER""",,1536221411,546615411,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622146353191E+018,12,10,"""SENSORS""",,1536221463,531840590,'',,0,0,'','','',False,0,'','',[],"""FAIL""",'','','','',[]
1.53622148005041E+018,13,0,"""MANAGER""",,1536221480,50277680,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622151620783E+018,13,8,"""SENSORS""",,1536221516,207641268,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.5362215306039E+018,14,0,"""MANAGER""",,1536221530,603671702,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622158424338E+018,14,8,"""SENSORS""",,1536221584,243224944,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622159737777E+018,15,0,"""MANAGER""",,1536221597,377451411,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622163423728E+018,15,7,"""SENSORS""",,1536221634,237125063,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622164773485E+018,16,0,"""MANAGER""",,1536221647,734675772,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622167124462E+018,16,5,"""SENSORS""",,1536221671,244438168,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622168446242E+018,17,0,"""MANAGER""",,1536221684,462316275,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622171023485E+018,17,5,"""SENSORS""",,1536221710,234735804,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622172376318E+018,18,0,"""MANAGER""",,1536221723,762924672,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622175323601E+018,18,6,"""SENSORS""",,1536221753,235879986,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622176717808E+018,19,0,"""MANAGER""",,1536221767,177938939,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622180523761E+018,19,7,"""SENSORS""",,1536221805,237441350,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622181855561E+018,20,0,"""MANAGER""",,1536221818,555517522,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
1.53622186223314E+018,20,10,"""SENSORS""",,1536221862,233016955,'',,0,0,'','','',False,0,'','',[],"""SUCCESS""","""robot""",'','','',[]
1.53622188465187E+018,21,0,"""MANAGER""",,1536221884,651795483,"""beginner_tired_noncollaborative.POMDPx""",,0,0,'','','',False,0,'','',[],"""START""",'',"""policy4.pomdpx""",'','',[]
