task_id,total_disc_reward,overall_est_accur,warnings_received
1,5.88,100,0
2,5.88,100,0
3,5.88,100,0
4,5.88,100,0
5,5.88,100,0
6,5.88,100,0
7,5.88,100,0
8,5.7624,100,0
9,5.7624,100,0
10,5.7624,100,0
11,5.88,100,0
12,5.88,100,0
13,5.88,100,0
14,5.7624,100,0
15,5.53421,100,0
16,5.53421,20,0
17,5.88,100,0
18,-2.71176,66.6666666667,0
19,5.64715,100,0
20,5.88,100,0
21,5.7624,100,0
22,-2.82358,25,0
23,5.53421,28.5714285714,0
24,5.64715,50,0
25,5.53421,60,0
26,5.64715,75,0
27,5.7624,100,0
28,5.88,100,0
29,-2.7671,20,0
30,5.53421,80,0
31,2.54795,71.4285714286,1
32,5.7624,66.6666666667,0
33,5.64715,75,0
34,5.64715,75,0
35,-2.71176,75,0
36,5.7624,50,0
37,5.64715,75,0
38,5.64715,75,0
39,5.10458,22.2222222222,0
40,2.59995,50,1
,,,
,,,
,,Needs est:,0.667
