task_id,expertise,mood,trust,TaskHuman,GlobalSuccess,GlobalFail,FailedToGrasp,NoAttention,Evaluating,Tired,Recovery,WarningTheRobot,RobotIsWarned,TaskRobot
1,beginner,stubborn,YES,1,1,0,0,0,9,0,0,0,0,0
2,beginner,stubborn,YES,1,1,0,0,0,18,0,0,0,0,0
3,beginner,stubborn,YES,1,1,0,0,0,18,0,0,0,0,0
4,beginner,stubborn,YES,1,1,0,0,0,14,0,0,0,0,0
5,beginner,stubborn,YES,1,1,0,0,0,12,0,0,0,0,0
6,beginner,stubborn,YES,1,1,0,0,0,13,0,0,0,0,0
7,beginner,stubborn,YES,1,1,0,0,0,14,0,0,0,0,0
8,beginner,stubborn,YES,1,1,0,0,0,13,0,0,0,0,0
9,beginner,thinker,YES,1,0,1,0,0,22,0,0,10,5,0
10,beginner,stubborn,YES,1,1,0,0,0,24,0,0,0,0,0
11,beginner,thinker,YES,1,1,0,0,0,12,0,0,0,0,0
12,beginner,stubborn,YES,1,1,0,7,0,14,0,0,15,4,0
13,beginner,thinker,YES,1,1,0,18,0,15,0,0,0,0,0
14,beginner,thinker,YES,1,1,0,0,0,16,0,0,0,0,0
15,beginner,tired,YES,1,1,0,7,0,9,0,0,16,0,0
16,beginner,thinker,YES,1,0,1,7,0,18,0,0,8,0,0
17,beginner,stubborn,YES,1,1,0,0,0,11,0,0,0,0,0
18,beginner,thinker,YES,1,1,0,0,0,38,0,0,0,0,0
19,beginner,stubborn,YES,1,1,0,10,0,16,0,0,0,0,0
20,beginner,stubborn,YES,1,0,1,6,0,21,0,0,7,0,0
21,beginner,tired,YES,1,1,0,0,0,15,16,4,0,0,0
22,beginner,stubborn,YES,1,1,0,10,0,10,0,0,0,0,0
23,beginner,tired,YES,1,1,0,8,0,11,0,0,15,0,0
24,beginner,thinker,YES,1,0,1,7,0,20,0,0,9,0,0
25,beginner,thinker,YES,1,1,0,0,0,19,0,0,0,0,0
26,beginner,tired,YES,1,1,0,0,0,17,19,5,0,0,0
27,beginner,tired,YES,1,1,0,0,13,10,0,0,0,0,0
28,beginner,distracted,YES,1,1,0,0,33,0,0,0,0,0,0
29,beginner,distracted,YES,1,0,1,0,0,23,0,0,29,0,0
30,beginner,stubborn,YES,1,1,0,10,0,14,0,0,0,0,0
31,beginner,thinker,YES,1,0,1,0,0,34,0,0,0,0,0
32,beginner,thinker,YES,1,0,1,0,0,31,0,0,13,4,0
33,beginner,tired,YES,1,1,0,20,0,20,0,0,0,0,0
34,beginner,distracted,YES,1,1,0,0,0,25,0,0,0,0,0
35,beginner,thinker,YES,1,0,1,8,0,17,0,0,9,0,0
36,beginner,thinker,YES,1,0,1,0,0,36,0,0,0,0,0
37,beginner,thinker,YES,1,0,1,10,0,24,0,0,0,0,0
38,beginner,distracted,YES,1,0,1,0,0,24,13,0,0,0,0
39,beginner,thinker,YES,1,0,1,9,0,15,0,0,9,0,0
40,beginner,thinker,YES,1,0,1,0,0,24,0,0,12,5,0
